"Name"	"Source"	"Page"	"School"	"Class/Level"	"Range"	"T/E/A"
"winter chill"	"SpC"	241	"transmutation [cold]"	"druid 1"	"close (25 ft. + 5 ft./2 levels)"	"target"
"beast claws"	"SpC"	25	"transmutation"	"druid 1"	"personal"	"target"
"animate water"	"SpC"	13	"transmutation [water]"	"druid 1"	"close (25 ft. + 5 ft./2 levels)"	"target"
"beget bogun"	"SpC"	26	"conjuration (creation)"	"druid 1"	"touch"	"effect"
"sandblast"	"SpC"	180	"evocation"	"druid 1"	"10 ft."	"area"
"shillelagh"	"PH"	278	"transmutation"	"druid 1"	"touch"	"target"
"cloudburst"	"SpC"	49	"evocation [water]"	"druid 1"	"long (400 ft. + 40 ft./level)"	"area"
"buoyant lifting"	"SpC"	40	"evocation"	"druid 1"	"close (25 ft. + 5 ft./2 levels)"	"target"
"animate fire"	"SpC"	12	"transmutation [fire]"	"druid 1"	"close (25 ft. + 5 ft./2 levels)"	"target"
"breath of the jungle"	"SpC"	39	"transmutation"	"druid 1"	"medium (100 ft. + 10 ft./level)"	"effect"
"wood wose"	"SpC"	242	"conjuration (creation)"	"druid 1"	"close (25 ft. + 5 ft./2 levels)"	"effect"
"animate wood"	"SpC"	13	"transmutation"	"druid 1"	"touch"	"target"
"cloud wings"	"SpC"	49	"transmutation"	"druid 2"	"touch"	"target"
"blinding spittle"	"SpC"	32	"transmutation"	"druid 2"	"close (25 ft. + 5 ft./2 levels)"	"effect"
"saltray"	"SpC"	179	"evocation"	"druid 2"	"close (25 ft. + 5 ft./2 levels)"	"effect"
"master air"	"SpC"	139	"transmutation"	"druid 2"	"personal"	"target"
"countermoon"	"SpC"	53	"abjuration"	"druid 2"	"close (25 ft. + 5 ft./2 levels)"	"target"
"share husk"	"SpC"	187	"divination"	"druid 2"	"touch"	"target"
"creeping cold"	"SpC"	55	"transmutation [cold]"	"druid 2"	"close (25 ft. + 5 ft./2 levels)"	"target"
"earthfast"	"SpC"	76	"transmutation"	"druid 2"	"close (25 ft. + 5 ft./2 levels)"	"area"
"tiger's tooth"	"SpC"	221	"transmutation"	"druid 2"	"touch"	"target"
"healing sting"	"SpC"	110	"necromancy"	"druid 2"	"touch"	"target"
"winter's embrace"	"SpC"	241	"evocation [cold]"	"druid 2"	"close (25 ft. + 5 ft./2 levels)"	"target"
