Compare E:\diffs\168 with E:\diffs\169
22/01/2008 17:56:25
Filename,Folder,Comparison result,Left Date,Right Date,Extension
..,,,,,
ambientmusic.2da,.,Files are different,* 22/01/2008 17:20:39,22/01/2008 17:16:30,2da
appearance.2da,.,Files are different,* 22/01/2008 17:20:39,22/01/2008 17:16:30,2da
appearancesndset.2da,.,Files are different,* 22/01/2008 17:19:20,22/01/2008 17:16:30,2da
baseitems.2da,.,Files are different,* 22/01/2008 17:20:39,22/01/2008 17:16:30,2da
classes.2da,.,Files are different,* 22/01/2008 17:20:39,22/01/2008 17:16:30,2da
cloakmodel.2da,.,Files are different,* 22/01/2008 17:20:39,22/01/2008 17:16:30,2da
cls_bfeat_pdk.2da,.,Only in E:\diffs\169,,* 22/01/2008 17:16:30,2da
cls_feat_barb.2da,.,Files are different,* 22/01/2008 17:19:20,22/01/2008 17:16:30,2da
cls_feat_bard.2da,.,Files are different,* 22/01/2008 17:19:20,22/01/2008 17:16:30,2da
cls_feat_blkgrd.2da,.,Files are different,* 22/01/2008 17:19:20,22/01/2008 17:16:30,2da
cls_feat_cler.2da,.,Files are different,* 22/01/2008 17:20:39,22/01/2008 17:16:30,2da
cls_feat_divcha.2da,.,Files are different,* 22/01/2008 17:19:20,22/01/2008 17:16:30,2da
cls_feat_druid.2da,.,Files are different,* 22/01/2008 17:19:20,22/01/2008 17:16:30,2da
cls_feat_dwdef.2da,.,Files are different,* 22/01/2008 17:20:39,22/01/2008 17:16:30,2da
cls_feat_fight.2da,.,Files are different,* 22/01/2008 17:19:20,22/01/2008 17:16:30,2da
cls_feat_monk.2da,.,Files are different,* 22/01/2008 17:19:20,22/01/2008 17:16:30,2da
cls_feat_pal.2da,.,Files are different,* 22/01/2008 17:19:20,22/01/2008 17:16:30,2da
cls_feat_pdk.2da,.,Only in E:\diffs\169,,* 22/01/2008 17:16:30,2da
cls_feat_rang.2da,.,Files are different,* 22/01/2008 17:19:20,22/01/2008 17:16:30,2da
cls_feat_rog.2da,.,Files are different,* 22/01/2008 17:19:20,22/01/2008 17:16:30,2da
cls_feat_sorc.2da,.,Files are different,* 22/01/2008 17:20:39,22/01/2008 17:16:30,2da
cls_feat_wiz.2da,.,Files are different,* 22/01/2008 17:19:20,22/01/2008 17:16:30,2da
cls_feat_wm.2da,.,Files are different,* 22/01/2008 17:19:20,22/01/2008 17:16:30,2da
cls_pres_pdk.2da,.,Only in E:\diffs\169,,* 22/01/2008 17:16:30,2da
cls_pres_wm.2da,.,Files are different,* 22/01/2008 17:19:20,22/01/2008 17:16:30,2da
cls_skill_archer.2da,.,Files are different,* 22/01/2008 17:19:20,22/01/2008 17:16:30,2da
cls_skill_asasin.2da,.,Files are different,* 22/01/2008 17:19:20,22/01/2008 17:16:30,2da
